"customer_id","age","annual_income_gbp","employment_status","employment_length_years","loan_type","loan_amount_gbp","loan_term_months","interest_rate_pct","credit_score","outstanding_balance_gbp","days_past_due","previous_defaults","default_flag","loan_to_income_ratio","dpd_bucket","risk_bucket"
100000,43,73100,"Employed",1.8,"Unsecured Personal Loan",25400,36,5.74,845,19000,90,0,0,0.34746922024623803010,"90+ DPD","High Risk"
100001,37,57700,"Employed",4.1,"Unsecured Personal Loan",19200,12,5.64,565,13100,10,0,0,0.33275563258232235702,"Current","Medium Risk"
100002,44,37400,"Employed",8.1,"Unsecured Personal Loan",53200,24,4.77,639,8000,30,1,0,1.4224598930481283,"30-59 DPD","High Risk"
100003,53,NULL,"Employed",0.7,"Mortgage",5500,36,12.55,670,5700,0,0,0,NULL,"Current","Low Risk"
100004,36,51500,"Contract",4.3,"Auto Loan",28400,60,10.03,715,8300,0,0,0,0.55145631067961165049,"Current","Low Risk"
100005,36,44200,"Contract",3.5,"Auto Loan",26600,36,7.57,781,12300,0,0,1,0.60180995475113122172,"Current","Low Risk"
100006,54,56800,"Employed",0.8,"Unsecured Personal Loan",7500,48,11.55,678,7900,0,2,0,0.13204225352112676056,"Current","High Risk"
100007,46,49900,"Retired",4.9,"Unsecured Personal Loan",24400,36,2.96,NULL,12300,10,2,0,0.48897795591182364729,"Current","High Risk"
100008,33,61400,"Employed",1.6,"Unsecured Personal Loan",16300,48,3.51,747,13500,0,0,0,0.26547231270358306189,"Current","Low Risk"
100009,43,27800,"Employed",3.3,"Auto Loan",11700,36,0.97,740,17700,0,1,0,0.42086330935251798561,"Current","High Risk"
100010,33,70200,"Employed",0.4,"Auto Loan",8100,48,5.4,525,24300,0,0,0,0.11538461538461538462,"Current","Medium Risk"
100011,33,40100,"Employed",3.1,"Unsecured Personal Loan",8700,36,7.99,680,10500,90,0,0,0.21695760598503740648,"90+ DPD","High Risk"
100012,40,102500,"Unemployed",1.8,"Auto Loan",45700,36,7.81,553,4000,0,0,0,0.44585365853658536585,"Current","Medium Risk"
100013,19,25700,"Unemployed",8.6,"Mortgage",13400,36,7.95,627,7800,20,0,0,0.52140077821011673152,"Current","Medium Risk"
100014,21,86500,"Employed",0.3,"Unsecured Personal Loan",21400,36,3.27,608,10200,20,0,0,0.24739884393063583815,"Current","Medium Risk"
100015,32,40100,"Employed",2.7,"Auto Loan",8300,12,9.91,745,2700,0,0,0,0.20698254364089775561,"Current","Low Risk"
100016,28,26200,"Employed",3.1,"Unsecured Personal Loan",8400,12,8.22,689,26200,0,3,0,0.32061068702290076336,"Current","High Risk"
100017,41,28500,"Employed",6.5,"Auto Loan",25600,12,9.7,577,10900,30,1,0,0.89824561403508771930,"30-59 DPD","High Risk"
100018,29,30900,"Employed",4.3,"Auto Loan",5900,48,1.82,750,12900,0,0,0,0.19093851132686084142,"Current","Low Risk"
100019,24,44900,"Employed",5.5,"Mortgage",10400,24,8.43,565,25700,60,0,0,0.23162583518930957684,"60-89 DPD","Medium Risk"
100020,53,47200,"Contract",7.5,"Unsecured Personal Loan",13600,24,3.94,706,6400,0,0,0,0.28813559322033898305,"Current","Low Risk"
100021,36,27300,"Contract",9.9,"Unsecured Personal Loan",14300,48,6.31,615,14800,0,0,0,0.52380952380952380952,"Current","Medium Risk"
100022,39,35900,"Employed",1.9,"Unsecured Personal Loan",12000,24,9.1,651,9200,30,0,0,0.33426183844011142061,"30-59 DPD","Medium Risk"
100023,24,106000,"Contract",3.9,"Unsecured Personal Loan",16900,36,7.77,720,8700,30,0,0,0.15943396226415094340,"30-59 DPD","Medium Risk"
100024,33,86100,"Employed",9.2,"Auto Loan",20200,24,4.95,722,5800,120,0,0,0.23461091753774680604,"90+ DPD","High Risk"
100025,39,226000,"Employed",22.8,"Mortgage",20800,60,7.52,787,31800,10,1,0,0.09203539823008849558,"Current","High Risk"
100026,26,37000,"Employed",11,"Unsecured Personal Loan",7400,48,2.91,673,7600,60,0,0,0.20000000000000000000,"60-89 DPD","Medium Risk"
100027,42,38600,"Self-Employed",2.3,"Unsecured Personal Loan",11300,48,10.95,705,16100,30,0,0,0.29274611398963730570,"30-59 DPD","Medium Risk"
100028,32,247000,"Retired",1.1,"Unsecured Personal Loan",27400,36,6.88,645,2700,30,0,0,0.11093117408906882591,"30-59 DPD","Medium Risk"
100029,35,21800,"Self-Employed",3.4,"Unsecured Personal Loan",22900,48,10.86,695,22600,0,0,0,1.05045871559633027523,"Current","Low Risk"
100030,32,31900,"Employed",6.8,"Unsecured Personal Loan",5900,12,5.92,715,20700,0,1,0,0.18495297805642633229,"Current","High Risk"
100031,57,15800,"Self-Employed",3.4,"Unsecured Personal Loan",16500,12,5.93,672,10600,60,0,1,1.04430379746835443038,"60-89 DPD","Medium Risk"
100032,38,44300,"Employed",3.3,"Auto Loan",4100,12,5.21,536,8400,0,2,0,0.09255079006772009029,"Current","High Risk"
100033,27,50200,"Contract",9.1,"Unsecured Personal Loan",13700,36,10.13,NULL,13100,0,3,0,0.27290836653386454183,"Current","High Risk"
100034,46,28500,"Employed",2.2,"Auto Loan",41700,36,5.37,709,49100,0,0,0,1.4631578947368421,"Current","Low Risk"
100035,26,79800,"Employed",9.8,"Auto Loan",7600,36,9.43,626,2900,0,0,0,0.09523809523809523810,"Current","Medium Risk"
100036,40,19700,"Self-Employed",2.6,"Unsecured Personal Loan",8100,12,6.35,NULL,17100,0,1,0,0.41116751269035532995,"Current","High Risk"
100037,18,17500,"Self-Employed",2,"Auto Loan",21100,36,1.57,798,5200,0,3,0,1.2057142857142857,"Current","High Risk"
100038,25,40600,"Employed",3,"Auto Loan",5300,48,5.79,719,9800,30,0,0,0.13054187192118226601,"30-59 DPD","Medium Risk"
100039,40,61300,"Self-Employed",7.2,"Auto Loan",9100,36,3.96,662,8300,0,1,0,0.14845024469820554649,"Current","High Risk"
100040,45,84300,"Employed",0.7,"Unsecured Personal Loan",19100,48,7.6,589,7300,0,1,0,0.22657176749703440095,"Current","High Risk"
100041,40,28900,"Unemployed",1.1,"Unsecured Personal Loan",9100,24,3.93,614,9800,0,0,0,0.31487889273356401384,"Current","Medium Risk"
100042,37,62300,"Contract",15.1,"Mortgage",11600,48,10.28,784,4500,0,0,0,0.18619582664526484751,"Current","Low Risk"
100043,35,35600,"Contract",1,"Auto Loan",20900,36,7.23,691,20300,0,1,0,0.58707865168539325843,"Current","High Risk"
100044,23,33300,"Self-Employed",4.2,"Unsecured Personal Loan",17200,24,6.97,636,2800,10,0,0,0.51651651651651651652,"Current","Medium Risk"
100045,31,56500,"Employed",4.3,"Unsecured Personal Loan",15700,24,9.47,721,14400,0,0,0,0.27787610619469026549,"Current","Low Risk"
100046,33,50300,"Employed",3.4,"Unsecured Personal Loan",10900,36,10.39,615,7900,60,0,0,0.21669980119284294235,"60-89 DPD","Medium Risk"
100047,49,16500,"Unemployed",5.2,"Unsecured Personal Loan",66800,48,7.44,800,4400,0,0,0,4.0484848484848485,"Current","Low Risk"
100048,41,NULL,"Employed",1.3,"Auto Loan",12400,36,5.19,NULL,11400,0,0,0,NULL,"Current","Low Risk"
100049,20,72400,"Employed",4,"Unsecured Personal Loan",17600,24,2.18,643,3300,0,2,0,0.24309392265193370166,"Current","High Risk"
100050,41,26600,"Employed",2.3,"Unsecured Personal Loan",9900,48,5.44,630,10200,0,0,0,0.37218045112781954887,"Current","Medium Risk"
100051,34,44300,"Employed",5.4,"Auto Loan",12000,36,5.65,471,3700,20,0,0,0.27088036117381489842,"Current","Medium Risk"
100052,31,46500,"Self-Employed",0.8,"Unsecured Personal Loan",7400,36,7.82,561,13700,30,0,0,0.15913978494623655914,"30-59 DPD","Medium Risk"
100053,44,41400,"Employed",4.2,"Auto Loan",13100,36,6.46,573,5200,0,0,0,0.31642512077294685990,"Current","Medium Risk"
100054,48,27600,"Unemployed",1,"Auto Loan",8200,24,9.56,691,7200,0,0,0,0.29710144927536231884,"Current","Low Risk"
100055,47,26000,"Employed",1.6,"Unsecured Personal Loan",6800,36,5.66,654,12200,0,0,0,0.26153846153846153846,"Current","Low Risk"
100056,30,35900,"Employed",1.2,"Auto Loan",15600,24,7.33,572,5800,0,0,1,0.43454038997214484680,"Current","Medium Risk"
100057,35,65300,"Employed",1,"Auto Loan",15200,60,11.05,658,9500,90,0,0,0.23277182235834609495,"90+ DPD","High Risk"
100058,41,47700,"Employed",8.7,"Unsecured Personal Loan",21400,36,8.53,720,3400,0,0,0,0.44863731656184486373,"Current","Low Risk"
100059,48,30200,"Employed",1.7,"Unsecured Personal Loan",10300,36,7.32,722,15400,10,0,0,0.34105960264900662252,"Current","Low Risk"
100060,33,53400,"Unemployed",13.1,"Auto Loan",17100,36,5.69,528,34000,0,2,0,0.32022471910112359551,"Current","High Risk"
100061,36,8700,"Employed",17.5,"Mortgage",18600,60,5.6,670,69900,0,0,0,2.1379310344827586,"Current","Low Risk"
100062,27,64500,"Contract",4.2,"Auto Loan",17400,48,4.95,569,10500,0,0,0,0.26976744186046511628,"Current","Medium Risk"
100063,26,15200,"Employed",NULL,"Unsecured Personal Loan",8100,36,5.88,752,17200,0,0,1,0.53289473684210526316,"Current","Low Risk"
100064,46,30300,"Employed",2.3,"Auto Loan",14600,48,9.77,743,2800,20,0,0,0.48184818481848184818,"Current","Low Risk"
100065,52,20700,"Unemployed",8,"Unsecured Personal Loan",16600,36,6.83,608,28300,0,0,0,0.80193236714975845411,"Current","Medium Risk"
100066,37,19000,"Employed",2.3,"Auto Loan",13400,36,3.45,619,17000,10,0,0,0.70526315789473684211,"Current","Medium Risk"
100067,48,64900,"Employed",0.5,"Auto Loan",3800,24,12.8,643,7100,0,0,0,0.05855161787365177196,"Current","Medium Risk"
100068,42,28700,"Employed",NULL,"Auto Loan",14700,36,8.46,500,23500,90,1,1,0.51219512195121951220,"90+ DPD","High Risk"
100069,32,43200,"Employed",9.3,"Mortgage",50400,24,3.28,707,8300,0,2,0,1.1666666666666667,"Current","High Risk"
100070,42,35500,"Contract",7.9,"Auto Loan",10800,60,6.17,658,7200,30,0,0,0.30422535211267605634,"30-59 DPD","Medium Risk"
100071,53,46100,"Employed",1,"Auto Loan",8600,24,7.83,758,13800,20,0,0,0.18655097613882863341,"Current","Low Risk"
100072,38,37700,"Unemployed",5.6,"Unsecured Personal Loan",16700,60,12.61,592,4700,90,0,1,0.44297082228116710875,"90+ DPD","High Risk"
100073,54,19100,"Contract",1.2,"Mortgage",16100,36,4.18,630,20200,0,2,0,0.84293193717277486911,"Current","High Risk"
100074,18,59800,"Employed",1.2,"Mortgage",27300,36,10.43,559,4700,10,2,0,0.45652173913043478261,"Current","High Risk"
100075,46,28400,"Contract",10.4,"Unsecured Personal Loan",6300,36,11.7,600,4700,0,0,0,0.22183098591549295775,"Current","Medium Risk"
100076,39,16700,"Employed",1.4,"Unsecured Personal Loan",20700,12,5.61,585,5200,0,0,1,1.2395209580838323,"Current","Medium Risk"
100077,35,29300,"Retired",1.5,"Unsecured Personal Loan",19000,24,6.67,NULL,16800,0,0,0,0.64846416382252559727,"Current","Low Risk"
100078,39,76900,"Employed",0,"Auto Loan",12300,12,4.39,624,6400,0,0,0,0.15994798439531859558,"Current","Medium Risk"
100079,18,55600,"Self-Employed",10.2,"Auto Loan",16400,36,6.89,690,3900,120,0,0,0.29496402877697841727,"90+ DPD","High Risk"
100080,36,30500,"Employed",7.9,"Unsecured Personal Loan",24800,36,7.39,650,6500,0,0,0,0.81311475409836065574,"Current","Low Risk"
