customer_id,age,annual_income_gbp,employment_status,employment_length_years,loan_amount_gbp,loan_term_months,interest_rate_pct,credit_score,outstanding_balance_gbp,days_past_due,previous_defaults,loan_type,default_flag
100000,43,73100,Employed,1.8,25400,36,5.74,845,19000,90,0,Unsecured Personal Loan,0
100001,37,57700,Employed,4.1,19200,12,5.64,565,13100,10,0,Unsecured Personal Loan,0
100002,44,37400,Employed,8.1,53200,24,4.77,639,8000,30,1,Unsecured Personal Loan,0
100003,53,,Employed,0.7,5500,36,12.55,670,5700,0,0,Mortgage,0
100004,36,51500,Contract,4.3,28400,60,10.03,715,8300,0,0,Auto Loan,0
100005,36,44200,Contract,3.5,26600,36,7.57,781,12300,0,0,Auto Loan,1
100006,54,56800,Employed,0.8,7500,48,11.55,678,7900,0,2,Unsecured Personal Loan,0
100007,46,49900,Retired,4.9,24400,36,2.96,,12300,10,2,Unsecured Personal Loan,0
100008,33,61400,Employed,1.6,16300,48,3.51,747,13500,0,0,Unsecured Personal Loan,0
100009,43,27800,Employed,3.3,11700,36,0.97,740,17700,0,1,Auto Loan,0
100010,33,70200,Employed,0.4,8100,48,5.4,525,24300,0,0,Auto Loan,0
100011,33,40100,Employed,3.1,8700,36,7.99,680,10500,90,0,Unsecured Personal Loan,0
100012,40,102500,Unemployed,1.8,45700,36,7.81,553,4000,0,0,Auto Loan,0
100013,19,25700,Unemployed,8.6,13400,36,7.95,627,7800,20,0,Mortgage,0
100014,21,86500,Employed,0.3,21400,36,3.27,608,10200,20,0,Unsecured Personal Loan,0
100015,32,40100,Employed,2.7,8300,12,9.91,745,2700,0,0,Auto Loan,0
100016,28,26200,Employed,3.1,8400,12,8.22,689,26200,0,3,Unsecured Personal Loan,0
100017,41,28500,Employed,6.5,25600,12,9.7,577,10900,30,1,Auto Loan,0
100018,29,30900,Employed,4.3,5900,48,1.82,750,12900,0,0,Auto Loan,0
100019,24,44900,Employed,5.5,10400,24,8.43,565,25700,60,0,Mortgage,0
100020,53,47200,Contract,7.5,13600,24,3.94,706,6400,0,0,Unsecured Personal Loan,0
100021,36,27300,Contract,9.9,14300,48,6.31,615,14800,0,0,Unsecured Personal Loan,0
100022,39,35900,Employed,1.9,12000,24,9.1,651,9200,30,0,Unsecured Personal Loan,0
100023,24,106000,Contract,3.9,16900,36,7.77,720,8700,30,0,Unsecured Personal Loan,0
100024,33,86100,Employed,9.2,20200,24,4.95,722,5800,120,0,Auto Loan,0
