customer_id,age,annual_income_gbp,employment_status,employment_length_years,loan_type,loan_amount_gbp,loan_term_months,interest_rate_pct,credit_score,outstanding_balance_gbp,days_past_due,previous_defaults,default_flag,loan_to_income_ratio,dpd_bucket,risk_bucket,pd_score,ai_risk_bucket
100000,43,73100.0,Employed,1.8,Unsecured Personal Loan,25400,36,5.74,845.0,19000,90,0,0,0.347469220246238,90+ DPD,High Risk,0.07494669958782592,Low Risk
100001,37,57700.0,Employed,4.1,Unsecured Personal Loan,19200,12,5.64,565.0,13100,10,0,0,0.3327556325823223,Current,Medium Risk,0.05904345557101204,Low Risk
100002,44,37400.0,Employed,8.1,Unsecured Personal Loan,53200,24,4.77,639.0,8000,30,1,0,1.4224598930481285,30-59 DPD,High Risk,0.24147062999463484,Medium Risk
100003,53,,Employed,0.7,Mortgage,5500,36,12.55,670.0,5700,0,0,0,,Current,Low Risk,0.05041641177368663,Low Risk
100004,36,51500.0,Contract,4.3,Auto Loan,28400,60,10.03,715.0,8300,0,0,0,0.5514563106796116,Current,Low Risk,0.02937642577065558,Low Risk
100005,36,44200.0,Contract,3.5,Auto Loan,26600,36,7.57,781.0,12300,0,0,1,0.6018099547511312,Current,Low Risk,0.022013697252118183,Low Risk
100006,54,56800.0,Employed,0.8,Unsecured Personal Loan,7500,48,11.55,678.0,7900,0,2,0,0.1320422535211267,Current,High Risk,0.08152571127006245,Low Risk
100007,46,49900.0,Retired,4.9,Unsecured Personal Loan,24400,36,2.96,,12300,10,2,0,0.4889779559118236,Current,High Risk,0.07679615797998289,Low Risk
100008,33,61400.0,Employed,1.6,Unsecured Personal Loan,16300,48,3.51,747.0,13500,0,0,0,0.265472312703583,Current,Low Risk,0.01266238071600522,Low Risk
100009,43,27800.0,Employed,3.3,Auto Loan,11700,36,0.97,740.0,17700,0,1,0,0.4208633093525179,Current,High Risk,0.03074389641655594,Low Risk
100010,33,70200.0,Employed,0.4,Auto Loan,8100,48,5.4,525.0,24300,0,0,0,0.1153846153846153,Current,Medium Risk,0.02443329766869248,Low Risk
100011,33,40100.0,Employed,3.1,Unsecured Personal Loan,8700,36,7.99,680.0,10500,90,0,0,0.2169576059850374,90+ DPD,High Risk,0.22401242239804545,Medium Risk
100012,40,102500.0,Unemployed,1.8,Auto Loan,45700,36,7.81,553.0,4000,0,0,0,0.4458536585365853,Current,Medium Risk,0.03491328925152008,Low Risk
100013,19,25700.0,Unemployed,8.6,Mortgage,13400,36,7.95,627.0,7800,20,0,0,0.5214007782101167,Current,Medium Risk,0.0679498565831093,Low Risk
100014,21,86500.0,Employed,0.3,Unsecured Personal Loan,21400,36,3.27,608.0,10200,20,0,0,0.2473988439306358,Current,Medium Risk,0.026442984156517503,Low Risk
100015,32,40100.0,Employed,2.7,Auto Loan,8300,12,9.91,745.0,2700,0,0,0,0.2069825436408977,Current,Low Risk,0.033632130741274295,Low Risk
100016,28,26200.0,Employed,3.1,Unsecured Personal Loan,8400,12,8.22,689.0,26200,0,3,0,0.3206106870229007,Current,High Risk,0.13879397741211927,Low Risk
100017,41,28500.0,Employed,6.5,Auto Loan,25600,12,9.7,577.0,10900,30,1,0,0.8982456140350877,30-59 DPD,High Risk,0.2966136301064291,Medium Risk
100018,29,30900.0,Employed,4.3,Auto Loan,5900,48,1.82,750.0,12900,0,0,0,0.1909385113268608,Current,Low Risk,0.014785705136858868,Low Risk
100019,24,44900.0,Employed,5.5,Mortgage,10400,24,8.43,565.0,25700,60,0,0,0.2316258351893095,60-89 DPD,Medium Risk,0.16551106522969908,Low Risk
100020,53,47200.0,Contract,7.5,Unsecured Personal Loan,13600,24,3.94,706.0,6400,0,0,0,0.2881355932203389,Current,Low Risk,0.024839829131428223,Low Risk
100021,36,27300.0,Contract,9.9,Unsecured Personal Loan,14300,48,6.31,615.0,14800,0,0,0,0.5238095238095238,Current,Medium Risk,0.043009755212536874,Low Risk
100022,39,35900.0,Employed,1.9,Unsecured Personal Loan,12000,24,9.1,651.0,9200,30,0,0,0.3342618384401114,30-59 DPD,Medium Risk,0.09376458290538255,Low Risk
100023,24,106000.0,Contract,3.9,Unsecured Personal Loan,16900,36,7.77,720.0,8700,30,0,0,0.1594339622641509,30-59 DPD,Medium Risk,0.01695693406322431,Low Risk
100024,33,86100.0,Employed,9.2,Auto Loan,20200,24,4.95,722.0,5800,120,0,0,0.2346109175377468,90+ DPD,High Risk,0.19274248613508424,Low Risk
100025,39,226000.0,Employed,22.8,Mortgage,20800,60,7.52,787.0,31800,10,1,0,0.0920353982300884,Current,High Risk,0.0016050759228738633,Low Risk
100026,26,37000.0,Employed,11.0,Unsecured Personal Loan,7400,48,2.91,673.0,7600,60,0,0,0.2,60-89 DPD,Medium Risk,0.09069199890028234,Low Risk
100027,42,38600.0,Self-Employed,2.3,Unsecured Personal Loan,11300,48,10.95,705.0,16100,30,0,0,0.2927461139896373,30-59 DPD,Medium Risk,0.05810615883666933,Low Risk
100028,32,247000.0,Retired,1.1,Unsecured Personal Loan,27400,36,6.88,645.0,2700,30,0,0,0.1109311740890688,30-59 DPD,Medium Risk,0.002704874938757687,Low Risk
100029,35,21800.0,Self-Employed,3.4,Unsecured Personal Loan,22900,48,10.86,695.0,22600,0,0,0,1.0504587155963303,Current,Low Risk,0.04775264763871506,Low Risk
100030,32,31900.0,Employed,6.8,Unsecured Personal Loan,5900,12,5.92,715.0,20700,0,1,0,0.1849529780564263,Current,High Risk,0.04703047802045455,Low Risk
100031,57,15800.0,Self-Employed,3.4,Unsecured Personal Loan,16500,12,5.93,672.0,10600,60,0,1,1.0443037974683544,60-89 DPD,Medium Risk,0.2006985258767907,Medium Risk
100032,38,44300.0,Employed,3.3,Auto Loan,4100,12,5.21,536.0,8400,0,2,0,0.09255079006772,Current,High Risk,0.12893739295366533,Low Risk
100033,27,50200.0,Contract,9.1,Unsecured Personal Loan,13700,36,10.13,,13100,0,3,0,0.2729083665338645,Current,High Risk,0.1148387663061538,Low Risk
100034,46,28500.0,Employed,2.2,Auto Loan,41700,36,5.37,709.0,49100,0,0,0,1.463157894736842,Current,Low Risk,0.03472351387160467,Low Risk
100035,26,79800.0,Employed,9.8,Auto Loan,7600,36,9.43,626.0,2900,0,0,0,0.0952380952380952,Current,Medium Risk,0.023654582783275643,Low Risk
100036,40,19700.0,Self-Employed,2.6,Unsecured Personal Loan,8100,12,6.35,,17100,0,1,0,0.4111675126903553,Current,High Risk,0.0680434222389009,Low Risk
100037,18,17500.0,Self-Employed,2.0,Auto Loan,21100,36,1.57,798.0,5200,0,3,0,1.2057142857142855,Current,High Risk,0.06803632044783016,Low Risk
100038,25,40600.0,Employed,3.0,Auto Loan,5300,48,5.79,719.0,9800,30,0,0,0.1305418719211822,30-59 DPD,Medium Risk,0.03529241274611227,Low Risk
100039,40,61300.0,Self-Employed,7.2,Auto Loan,9100,36,3.96,662.0,8300,0,1,0,0.1484502446982055,Current,High Risk,0.030051836010717935,Low Risk
100040,45,84300.0,Employed,0.7,Unsecured Personal Loan,19100,48,7.6,589.0,7300,0,1,0,0.2265717674970344,Current,High Risk,0.04736725231870958,Low Risk
100041,40,28900.0,Unemployed,1.1,Unsecured Personal Loan,9100,24,3.93,614.0,9800,0,0,0,0.314878892733564,Current,Medium Risk,0.0373002194864213,Low Risk
100042,37,62300.0,Contract,15.1,Mortgage,11600,48,10.28,784.0,4500,0,0,0,0.1861958266452648,Current,Low Risk,0.016019235154352243,Low Risk
100043,35,35600.0,Contract,1.0,Auto Loan,20900,36,7.23,691.0,20300,0,1,0,0.5870786516853932,Current,High Risk,0.05043516189166614,Low Risk
100044,23,33300.0,Self-Employed,4.2,Unsecured Personal Loan,17200,24,6.97,636.0,2800,10,0,0,0.5165165165165165,Current,Medium Risk,0.05776455921231041,Low Risk
100045,31,56500.0,Employed,4.3,Unsecured Personal Loan,15700,24,9.47,721.0,14400,0,0,0,0.2778761061946902,Current,Low Risk,0.027237947436111593,Low Risk
